Code,Name,Market,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
347740,피엔케이피부임상연구센타,KOSDAQ,"그외 기타 전문, 과학 및 기술 서비스업",피부인체적용시험,2020-09-09,12월,"박진오, 이해광(각자대표)",http://www.pnkskin.com,서울특별시
137400,피엔티,KOSDAQ GLOBAL,특수 목적용 기계 제조업,2차전지 및 전자소재용 Roll-to-Roll 장비,2012-07-06,12월,김준섭,http://www.epnt.co.kr,경상북도
257370,피엔티엠에스,KOSDAQ,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비",2018-09-13,12월,김준섭,http://www.ms-mc.co.kr,대구광역시
147760,피엠티,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 검사용 프로브카드,2016-12-12,12월,조용호,http://pmt23.com,충청남도
128660,피제이메탈,KOSDAQ,1차 비철금속 제조업,"탈산제, 조재제",2010-12-13,12월,하경식,,서울특별시
006140,피제이전자,KOSDAQ,의료용 기기 제조업,EMS Business(의료용기기제조외),1993-12-07,12월,이응구,http://www.pjems.co.kr,경기도
376180,피코그램,KOSDAQ,그외 기타 제품 제조업,"정수기, 정수기 필터",2021-11-03,12월,최석림,http://www.picogram.com,인천광역시
304840,피플바이오,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단),2020-10-19,12월,강성민,http://www.peoplebio.net/kr/index.php,경기도
087600,픽셀플러스,KOSDAQ,전자부품 제조업,CMOS 이미지센서 및 칩셋,2015-06-12,12월,이서규,http://www.pixelplus.com,경기도
291810,핀텔,KOSDAQ,소프트웨어 개발 및 공급업,AI 영상 분석 솔루션 및 소프트웨어,2022-10-20,12월,김동기,,경기도
378340,필에너지,KOSDAQ,특수 목적용 기계 제조업,2차전지 제조장비,2023-07-14,12월,김광일,http://philenergy.co.kr,경기도
161580,필옵틱스,KOSDAQ,특수 목적용 기계 제조업,디스플레이 및 반도체 제조공정용 제작,2017-06-01,12월,한기수,http://www.philoptics.com/,경기도
347770,핌스,KOSDAQ,전자부품 제조업,OLED Metal Mask,2020-09-18,12월,김민용,http://pimskorea.com,인천광역시
163730,핑거,KOSDAQ,소프트웨어 개발 및 공급업,"스마트 금융 플랫폼, 핀테크 금융 솔루션",2021-01-29,12월,안인주,http://www.finger.co.kr,서울특별시
417180,핑거스토리,KOSDAQ,기타 정보 서비스업,"웹툰, 디지털 만화, 웹소설",2022-12-08,12월,라현성,http://www.mootoon.co.kr,서울특별시
454640,하나29호스팩,KOSDAQ,금융 지원 서비스업,기업인수합병,2023-06-28,12월,윤경순,,서울특별시
469880,하나30호스팩,KOSDAQ,금융 지원 서비스업,기업인수합병,2023-12-22,12월,전신웅,,서울특별시
469900,하나31호스팩,KOSDAQ,금융 지원 서비스업,기업인수합병,2024-03-05,12월,한규정,,서울특별시
475240,하나32호스팩,KOSDAQ,금융 지원 서비스업,기업인수합병,2024-03-27,12월,박종찬,,서울특별시
475250,하나33호스팩,KOSDAQ,금융 지원 서비스업,기업인수합병,2024-04-24,12월,박태한,,서울특별시
484130,하나34호스팩,KOSDAQ,금융 지원 서비스업,기업인수목적,2024-11-19,12월,송하용,,서울특별시
0041L0,하나35호스팩,KOSDAQ,금융 지원 서비스업,기업인수합병,2025-08-06,12월,박정수,,서울특별시
086790,하나금융지주,KOSPI,기타 금융업,기타 금융,2005-12-12,12월,함영주,http://www.hanafn.com,서울특별시
299030,하나기술,KOSDAQ,특수 목적용 기계 제조업,이차전지 양산 자동화 설비 제조,2020-11-25,12월,오태봉,http://www.hn-tech.co.kr,경기도
067310,하나마이크론,KOSDAQ,반도체 제조업,"반도체패키징,IOT",2005-10-11,12월,이동철,http://www.hanamicron.co.kr,충청남도
166090,하나머티리얼즈,KOSDAQ GLOBAL,반도체 제조업,"실리콘부품, 세라믹부품, 특수가스",2017-04-28,12월,김현주,http://hanamts.com,충청남도
293480,하나제약,KOSPI,의약품 제조업,완제의약품,2018-10-02,12월,최태홍,http://www.hanaph.co.kr,경기도
039130,하나투어,KOSPI,여행사 및 기타 여행보조 서비스업,"일반여행알선,컴퓨터프로그램 개발,보급,통신판매",2011-11-01,12월,송미선,http://www.hanatour.com,서울특별시
136480,하림,KOSDAQ,"도축, 육류 가공 및 저장 처리업","육계, 육계가공식품",2011-05-02,12월,"김홍국, 정호석(각자대표)",,전북특별자치도
003380,하림지주,KOSDAQ GLOBAL,기타 금융업,지주사업,2017-06-30,12월,김홍국,http://www.harimholdings.co.kr,전북특별자치도
450330,하스,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,"리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관",2024-07-03,12월,김용수,http://www.hassbio.com,강원특별자치도
101670,하이드로리튬,KOSDAQ,"구조용 금속제품, 탱크 및 증기발생기 제조업","영구앵커,교량용케이블,타이케이블",2008-07-15,12월,전 웅,,경기도
365590,하이딥,KOSDAQ,반도체 제조업,UIUX Solution,2020-12-21,12월,고범규,http://www.hideep.com,경기도
149980,하이로닉,KOSDAQ,의료용 기기 제조업,피부미용 의료기기,2014-12-17,12월,이진우,http://www.hironic.com,경기도
013030,하이록코리아,KOSDAQ,1차 철강 제조업,관이음쇠,1989-12-15,12월,"문휴건, 문창환 각자대표이사",http://www.hy-lok.com,부산광역시
352820,하이브,KOSPI,오디오물 출판 및 원판 녹음업,"음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트",2020-10-15,12월,이재상,http://hybecorp.com,서울특별시
126700,하이비젼시스템,KOSDAQ,사진장비 및 광학기기 제조업,카메라모듈 제조검사용 장비,2010-09-10,12월,최 두 원,http://www.hyvision.co.kr,경기도
071090,하이스틸,KOSPI,1차 철강 제조업,"강관 제조,도매",2003-02-17,12월,엄정근,http://www.histeel.co.kr,충청남도
450050,하이제8호스팩,KOSDAQ,금융 지원 서비스업,기업인수합병,2023-06-22,12월,정우주,,서울특별시
160190,하이젠알앤엠,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기 및 발전기 (범용모터, 서보모터)",2024-06-27,12월,김재학,http://higenrnm.com,경상남도
221840,하이즈항공,KOSDAQ,"항공기,우주선 및 부품 제조업",B787 날개구조물 등,2015-11-25,12월,하상헌,http://www.hizeaero.com,경상남도
106190,하이텍팜,KOSDAQ,기초 의약물질 제조업,주사제용 무균 원료의약품(Sterile Imipenem 외),2010-07-28,12월,김정수,http://www.htpharm.com,충청북도
000080,하이트진로,KOSPI,알코올음료 제조업,"맥주, 소주",2009-10-19,12월,김인규,http://www.hitejinro.com,서울특별시
000087,하이트진로2우B,KOSPI,,,,,,,
000140,하이트진로홀딩스,KOSPI,기타 금융업,지주회사,1973-09-19,12월,김인규,http://www.hitejinroholdings.com,서울특별시
000145,하이트진로홀딩스우,KOSPI,,,,,,,
065650,하이퍼코퍼레이션,KOSDAQ,기계장비 및 관련 물품 도매업,음반재킷 제작,2003-01-21,12월,이상석,http://medifon.com,서울특별시
066130,하츠,KOSDAQ,가정용 기기 제조업,"레인지후드, 빌트인 기기 등",2003-02-11,12월,김성식,http://www.haatz.com,경기도
152550,한국ANKOR유전,KOSPI,신탁업 및 집합투자업,,2012-03-08,03월,한국투자리얼에셋운용,,서울특별시
004590,한국가구,KOSDAQ,기타 상품 전문 소매업,소파,1993-06-03,12월,최훈학,http://www.koreafurniture.co.kr,서울특별시
036460,한국가스공사,KOSPI,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발",1999-12-15,12월,최연혜,http://www.kogas.or.kr,대구광역시
